0:0:0:0:0:0:0:1 - - [27/May/2021:08:32:59 +0900] "GET / HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:08:33:53 +0900] "POST /user/loginPost HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [27/May/2021:08:33:54 +0900] "GET /user/login HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:08:33:54 +0900] "GET /resources/images/Idino.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2021:08:33:54 +0900] "GET /user/login HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:08:33:58 +0900] "POST /user/loginPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2021:08:33:58 +0900] "GET /user/choice HTTP/1.1" 200 8585
0:0:0:0:0:0:0:1 - - [27/May/2021:08:33:58 +0900] "GET /user/choice HTTP/1.1" 200 8585
0:0:0:0:0:0:0:1 - - [27/May/2021:09:11:21 +0900] "GET /user/choice HTTP/1.1" 500 3874
0:0:0:0:0:0:0:1 - - [27/May/2021:09:11:21 +0900] "GET /favicon.ico HTTP/1.1" 404 721
127.0.0.1 - - [27/May/2021:09:11:34 +0900] "GET / HTTP/1.1" 200 2610
0:0:0:0:0:0:0:1 - - [27/May/2021:09:11:35 +0900] "GET / HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:11:35 +0900] "GET / HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:11:39 +0900] "POST /user/loginPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2021:09:11:39 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:11:39 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:11:41 +0900] "GET /user/getUserInfo?sid=111 HTTP/1.1" 200 6906
0:0:0:0:0:0:0:1 - - [27/May/2021:09:11:41 +0900] "GET /user/getUserInfo?sid=111 HTTP/1.1" 200 6906
0:0:0:0:0:0:0:1 - - [27/May/2021:09:11:42 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:11:43 +0900] "GET / HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:11:49 +0900] "POST /user/loginPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2021:09:11:49 +0900] "GET /user/choice HTTP/1.1" 200 8585
0:0:0:0:0:0:0:1 - - [27/May/2021:09:11:49 +0900] "GET /user/choice HTTP/1.1" 200 8585
0:0:0:0:0:0:0:1 - - [27/May/2021:09:21:44 +0900] "GET /user/choice HTTP/1.1" 500 3874
127.0.0.1 - - [27/May/2021:09:21:45 +0900] "GET / HTTP/1.1" 200 2610
0:0:0:0:0:0:0:1 - - [27/May/2021:09:21:45 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [27/May/2021:09:21:46 +0900] "GET / HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:21:46 +0900] "GET / HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:21:50 +0900] "GET /user/join HTTP/1.1" 200 3782
0:0:0:0:0:0:0:1 - - [27/May/2021:09:21:50 +0900] "GET /user/join HTTP/1.1" 200 3782
0:0:0:0:0:0:0:1 - - [27/May/2021:09:21:55 +0900] "POST /user/saveUserInfo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2021:09:21:55 +0900] "GET /user/login HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:21:55 +0900] "GET /user/login HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:21:57 +0900] "POST /user/loginPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2021:09:21:58 +0900] "GET /user/choice HTTP/1.1" 200 8756
0:0:0:0:0:0:0:1 - - [27/May/2021:09:21:58 +0900] "GET /user/choice HTTP/1.1" 200 8756
0:0:0:0:0:0:0:1 - - [27/May/2021:09:22:16 +0900] "GET /user/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2021:09:22:16 +0900] "GET /user/login HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:22:16 +0900] "GET /user/login HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:22:19 +0900] "POST /user/loginPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2021:09:22:19 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:22:19 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:22:20 +0900] "GET /user/getUserInfo?sid=111 HTTP/1.1" 200 6906
0:0:0:0:0:0:0:1 - - [27/May/2021:09:22:20 +0900] "GET /user/getUserInfo?sid=111 HTTP/1.1" 200 6906
0:0:0:0:0:0:0:1 - - [27/May/2021:09:22:22 +0900] "GET /user/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2021:09:22:22 +0900] "GET /user/login HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:22:22 +0900] "GET /user/login HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:22:27 +0900] "POST /user/loginPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2021:09:22:27 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:22:27 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:22:41 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:22:41 +0900] "GET /resources/common/css/common.css HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [27/May/2021:09:22:42 +0900] "GET /resources/images/Idino.png HTTP/1.1" 200 3567
0:0:0:0:0:0:0:1 - - [27/May/2021:09:22:42 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:22:43 +0900] "GET / HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:22:44 +0900] "GET / HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:22:47 +0900] "POST /user/loginPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2021:09:22:47 +0900] "GET /user/choice HTTP/1.1" 200 8850
0:0:0:0:0:0:0:1 - - [27/May/2021:09:22:47 +0900] "GET /user/choice HTTP/1.1" 200 8850
0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:00 +0900] "GET /user/choice HTTP/1.1" 500 3874
0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:00 +0900] "GET / HTTP/1.1" 200 2566
127.0.0.1 - - [27/May/2021:09:27:00 +0900] "GET / HTTP/1.1" 200 2610
0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:01 +0900] "GET / HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:08 +0900] "POST /user/loginPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:08 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:08 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:13 +0900] "GET /user/getCheckingInfo?selectSubject=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4&s_id=111&SubjectName=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4 HTTP/1.1" 200 3138
